symbol,date,open,high,low,close,volume,vwap,drift_factor,amihud_mean,amihud_range,sortino_ratio,ts_mom_rank,max_dd_ratio,rel_strength_ma
ALL,2021-05-25,137.18,137.355,134.91,135.12,1820065,136.0269228504652,0.0,0.0009062767884044069,0.03408374773607665,,,,
ALL,2021-05-26,135.61,140.0,135.0,135.2,4128232,136.01928911488793,0.0,0.0005970041266888813,0.00869093406984882,,,,
ALL,2021-05-27,136.01,136.6,134.33,136.13,3163826,135.41722607648632,0.0,0.0006097827267246955,0.0065438954872741924,,,,
ALL,2021-05-28,137.58,137.63,135.7,136.63,1970151,136.23979451691704,0.0,0.0006456966631042569,0.005990317194737704,,,,
ALL,2021-06-01,137.98,139.44,137.38,138.205,1696014,138.36260223490603,0.0,0.000828417232682921,0.004683429243596941,,,,
ALL,2021-06-02,138.02,138.92,137.305,138.145,1839856,137.92722664318944,0.0,0.0007286566566825829,0.009027282189192949,,,,
ALL,2021-06-03,136.14,137.05,134.85,136.36,1637166,136.36943035955545,0.0,0.003383469720265794,0.3448374387048846,,,,
ALL,2021-06-04,136.01,136.57,134.79,136.415,1581956,135.6715224292576,0.0,0.0008768543045966956,0.005564066804992661,,,,
ALL,2021-06-07,136.33,136.48,134.46,134.67,1394472,134.9854761456178,0.0,0.0010773678179930228,0.02529563728139902,,,,
ALL,2021-06-08,134.13,134.99,133.44,134.68,1352586,134.34547093579656,0.0,0.0009561018146050588,0.027845849276815982,,,,
ALL,2021-06-09,134.17,134.42,133.0,133.035,1437032,133.54885637475851,0.0,0.0011022462184926086,0.018934251978507764,,,,
ALL,2021-06-10,133.5,134.26,131.32,131.34,1482459,132.46465877097805,0.0,0.0009765268732602445,0.006791213903142746,,,,
ALL,2021-06-11,131.93,132.83,131.42,131.485,1441712,131.81497308433677,0.0,0.000879486112904878,0.009363089839565257,,,,
ALL,2021-06-14,131.88,131.95,129.55,130.89,1175443,130.53967731127642,0.0,0.001843070246158846,0.017781692261782226,,,,
ALL,2021-06-15,130.97,132.73,130.31,132.05,1161798,131.51453987560546,0.0,0.0012349596538250387,0.008190793939152783,,,,
ALL,2021-06-16,131.1,131.6283,129.56,130.45,1542468,130.75865124281262,0.0,0.002824885241080818,0.23380054475509235,,,,
ALL,2021-06-17,130.01,131.0,126.17,126.41,1536229,127.31341651149148,0.0,0.002560390953897309,0.4411736782180315,,,,
ALL,2021-06-18,125.22,125.75,123.86,124.18,2045641,124.77699690581034,0.0,0.0014705777625356794,0.010428771764704562,,,,
ALL,2021-06-21,125.06,128.47,125.06,128.19,1262290,127.69116079242121,0.0,0.0013377672247646747,0.01907526160872102,,,,
ALL,2021-06-22,128.23,129.26,127.25,128.74,992436,128.58760957247156,0.0,0.0014855449574407455,0.01886239693051062,,,-0.0684852212293332,-0.024370609385656716
ALL,2021-06-23,128.48,128.69,127.88,127.98,622605,128.37305969611344,0.0,0.002093633499679602,0.02732136316529529,-0.30978352724484254,,-0.07398429868673351,-0.025556496508123194
ALL,2021-06-24,127.93,129.34,127.7,129.02,709936,128.6474482734576,91331454.83746667,0.001987920226370368,0.018333514363021917,-0.26537828661565266,,-0.06645924532397529,-0.025033979215537627
ALL,2021-06-25,129.2,131.03,128.82,130.91,777407,130.35040768940684,101335319.3906,0.00169367596354289,0.014889708899841609,-0.21958216333742797,,-0.05278390796280896,-0.023541690022214734
ALL,2021-06-28,130.99,130.99,129.1,129.86,853324,129.86901622962912,96014468.60513332,0.0018282337922760458,0.022656780522133015,-0.29248109769050107,,-0.06038131760790133,-0.021813396503870264
ALL,2021-06-29,129.64,130.7,129.24,129.605,938604,129.80341786262582,121834007.21953334,0.0020119892636981176,0.07405277132508575,-0.376203652601617,,-0.06181910311629102,-0.020471228900881155
ALL,2021-06-30,129.83,130.62,129.295,130.54,895905,129.8841272466374,116363839.0209,0.0019385544020201287,0.028430754461935177,-0.3294258025131647,,-0.043067111388043866,-0.01755572632192992
ALL,2021-07-01,131.0,133.69,130.57,132.81,1306329,132.56404598935796,173172257.63323334,0.0011850773058593494,0.01874057775893016,-0.14747323122569259,,-0.02642671260491869,-0.011323021895156105
ALL,2021-07-02,132.52,133.495,131.96,133.3,751614,132.95154733874747,96331291.3148,0.0016054768122243147,0.016225202276988406,-0.12767866235857386,,-0.010246510246510243,-0.0031549972125567427
ALL,2021-07-06,132.76,132.76,130.435,131.75,864721,131.64576546990148,98081523.29956667,0.002167655404663898,0.017327498033351835,-0.12134853160052729,,-0.02175527175527181,0.0006923068779494113
ALL,2021-07-07,130.96,133.4,129.9348,133.16,934140,132.59633966364643,108658662.10206667,0.00196092568909954,0.029651905019727105,-0.05696877517411049,,-0.0010502625656415576,0.004668602086216778
ALL,2021-07-08,131.7,132.89,129.76,130.28,1226198,131.26056533670092,85102820.11840001,0.001986556650392779,0.01572203408070408,-0.10597546038188167,,-0.022655663915979063,0.0074991835411744034
ALL,2021-07-09,131.3,133.7697,131.24,133.34,908706,133.23564802143414,112822682.39096667,0.0024324579400655483,0.21421338955943467,0.09832496080937565,,0.0,0.010042419162744398
ALL,2021-07-12,133.12,134.83,132.25,134.63,1259891,134.03396059378576,-131655007.07646668,0.001260479540441419,0.01283061821541955,0.1467265767786576,,0.0,0.011677105242586583
ALL,2021-07-13,134.57,134.57,132.09,132.24,827868,132.87381545894434,-109080846.29969999,0.0018606038908304833,0.026797437427654988,0.06897718907261219,,-0.0177523583153828,0.012977855366717694
ALL,2021-07-14,132.83,133.22,130.61,131.57,975584,131.61576786143684,-96737853.24973333,0.0018747255998132453,0.018763725440015918,-0.006435581350333894,,-0.02272896085567855,0.01467056851934223
ALL,2021-07-15,130.16,130.79,125.04,130.555,2402483,128.89221579716988,29669857.13536665,0.003016097944789194,0.230583506235959,0.01784227722114223,,-0.030268142315977076,0.014641232238717716
ALL,2021-07-16,130.41,131.37,129.965,130.43,1027743,130.61520637581447,-32678099.901766658,0.0015224072640599579,0.015659951503462166,0.2368427039115071,,-0.031196612939166535,0.011258701306785523
ALL,2021-07-19,128.99,129.51,125.93,127.36,1290841,127.00788991801886,-150809642.62966666,0.0022056254913144545,0.03486607558516945,0.1781695101028352,,-0.05399985144470021,0.005488730061844471
ALL,2021-07-20,127.52,129.89,127.09,127.8,1532564,128.296564238491,-181253795.97946668,0.001415286233844449,0.015207211055095836,-0.009737097382161811,,-0.05073163485107335,0.002618621572654689
ALL,2021-07-21,128.5,130.28,128.5,128.79,814809,129.19517040684633,-3638158.394033335,0.0020368893901773254,0.01680864351305354,0.012782537868177216,0.21052631578947367,-0.04337814751541269,-0.0007416101347711423
ALL,2021-07-22,128.5,128.7,127.4,128.36,921121,128.04572997210144,-10409133.06683334,0.0024350405780874346,0.052189381976244516,0.02945854490639793,0.3684210526315789,-0.046572086459184314,-0.002354461130190888
ALL,2021-07-23,129.19,130.0,128.56,129.735,736866,129.3684007271318,-28403540.407733336,0.0020940097780042977,0.02056260255250922,0.046287758451851055,0.3684210526315789,-0.03635890960410004,-0.005382065589332852
ALL,2021-07-26,129.72,131.04,129.47,130.41,605468,130.36728673174915,-45621622.906899996,0.0022741719002254404,0.030255530306261297,-0.015189923359952456,0.42105263157894735,-0.0313451682388769,-0.008417653260839097
ALL,2021-07-27,130.0,131.96,129.37,131.41,537092,131.21270924149312,18390010.75273333,0.003220366360292164,0.026636417828042987,0.08638329748462241,0.7368421052631579,-0.023917403253361003,-0.009638761379285321
ALL,2021-07-28,131.7,132.11,128.985,130.505,840405,130.36840690373336,-83096357.58533333,0.0025056289418973134,0.034413786110918124,0.054628332343334474,0.5789473684210527,-0.030639530565252926,-0.010792390228177684
ALL,2021-07-29,131.59,133.055,130.496,132.56,697025,132.16708602579823,-61814798.0392,0.0026933039810950136,0.0332217356058052,0.10990777952508479,0.9473684210526315,-0.01537547352001778,-0.010024818894349141
ALL,2021-07-30,131.45,131.99,129.635,129.935,997402,130.55318943037213,-104171703.26376666,0.0026789015546978263,0.21505807441940103,-0.12184551730966213,0.2631578947368421,-0.034873356606996864,-0.009315845033129544
ALL,2021-08-02,130.64,132.075,129.7,129.75,798930,130.52072186140467,83402636.45006666,0.0023065422500278235,0.033090845960573226,-0.15352386361118225,0.3157894736842105,-0.03624749312931741,-0.006142501519856625
ALL,2021-08-03,129.0,130.89,128.655,130.45,1036872,130.29083604552798,126683245.8122,0.002572677885713683,0.06018053465511083,-0.05044650074393331,0.631578947368421,-0.031048057639456395,-0.0036199857646842526
ALL,2021-08-04,131.0,131.22,129.08,129.26,786746,129.80240265578985,38380196.96936667,0.0030512059502113874,0.11634793150822433,-0.1719846362478715,0.15789473684210525,-0.03988709797222023,-0.0017705423913227936
ALL,2021-08-05,128.93,129.11,124.8,127.73,1629447,126.7808054717738,162171412.34976667,0.0036524324741212862,0.6959647012885212,-0.12318200021628435,0.10526315789473684,-0.05125157840005934,-0.0012774185404993421
ALL,2021-08-06,128.56,131.54,128.56,130.705,1194136,130.63047647289088,133116449.50270002,0.001809704336635455,0.022053234952914485,-0.12450139830126745,0.5789473684210527,-0.029153977568149636,0.00047807655750431444
ALL,2021-08-09,131.06,133.55,130.62,132.47,1085972,132.71031733964168,125263456.61616665,0.0019183575084641199,0.028135307994585974,-0.09879757275425666,0.8421052631578947,-0.0006789378394689294,0.0028919782859204712
ALL,2021-08-10,132.7,134.98,132.15,134.27,1177508,134.19096147176805,110005765.0607,0.0017371391997528219,0.05750795444273521,0.11982947935602153,1.0,0.0,0.004306744596077383
ALL,2021-08-11,134.61,135.59,133.74,135.43,783465,135.02531073368345,-86873540.78956668,0.002485552492485473,0.053766854897797735,0.21645705709003937,1.0,0.0,0.006597224142152358
ALL,2021-08-12,135.96,136.76,134.96,135.38,731285,135.51743142449976,-87490977.2526,0.002092995945325089,0.04200630385420289,0.2688704358323142,1.0,-0.000369194417780494,0.006896973980809351
ALL,2021-08-13,135.95,136.27,134.255,134.9,640587,135.11573626054223,-86470454.64393333,0.002202415573363509,0.022083958386641022,0.2515728400224219,0.8947368421052632,-0.003913460828472326,0.008971385482328786
ALL,2021-08-16,134.86,136.5,134.0001,136.47,700005,135.84696929416978,-93242080.23556666,0.002384038920901316,0.015635367760008897,0.6650682256351025,1.0,0.0,0.010588960902663036
ALL,2021-08-17,134.96,135.72,133.694,134.9,1046067,134.55636434590897,-127480481.92223333,0.0026190353488210454,0.10266418367856832,0.49575370190764784,0.7894736842105263,-0.011504359932585917,0.011243933667151929
ALL,2021-08-18,134.2,136.46,134.09,134.48,991699,135.52414997315915,-134399164.00423333,0.0018429480526161598,0.030395239814521694,0.40247554054459306,0.7368421052631579,-0.014581959404997513,0.013019540601716395
ALL,2021-08-19,133.22,134.98,132.915,133.87,824374,134.11280005207828,-107645945.1468,0.0023073901409968217,0.03034105303643478,0.39134190374361755,0.7368421052631579,-0.019051806257785575,0.015552328802205695
