symbol,date,open,high,low,close,volume,vwap,drift_factor,amihud_mean,amihud_range,sortino_ratio,ts_mom_rank,max_dd_ratio,rel_strength_ma
BRK.B,2021-05-25,291.0,291.6,287.28,287.8,4731314,289.1643280048482,0.0,0.000279374206824904,0.052695953988825796,,,,
BRK.B,2021-05-26,288.25,290.0,285.75,287.39,4397043,287.35808227592884,0.0,0.0002901200463561879,0.03014084061296878,,,,
BRK.B,2021-05-27,287.52,289.77,286.57,289.33,4461183,287.86572241932924,0.0,0.00026735437762938255,0.0179788201569148,,,,
BRK.B,2021-05-28,289.05,291.0,288.23,289.39,4802966,289.337797588545,0.0,0.00017051180963808065,0.022252928398666827,,,,
BRK.B,2021-06-01,290.9,292.07,288.81,289.87,3790670,290.1672364626211,0.0,0.0005753925867097283,0.07635629838450747,,,,
BRK.B,2021-06-02,291.0,291.35,289.22,290.03,3698851,289.9832719371134,0.0,0.0008046709844034499,0.055316703815452194,,,,
BRK.B,2021-06-03,289.23,293.272,287.66,291.65,4170860,291.0440662116998,0.0,0.0005720836364650507,0.048820021437938295,,,,
BRK.B,2021-06-04,292.0,293.4999,291.45,292.75,2828709,292.2348841837851,0.0,0.0003572867120413394,0.029765997586567627,,,,
BRK.B,2021-06-07,291.93,292.86,288.84,289.735,4458357,290.22541038613485,0.0,0.0002645347155552551,0.029080188970040867,,,,
BRK.B,2021-06-08,289.11,290.15,285.7,289.38,5298109,287.9510769201169,0.0,0.0004021879541231497,0.03540578750083338,,,,
BRK.B,2021-06-09,289.19,289.7,287.05,288.84,3607407,288.3368798843039,0.0,0.0005932836035584347,0.060471748895919386,,,,
BRK.B,2021-06-10,289.0,290.81,284.68,284.76,4770285,287.29391447503946,0.0,0.0005649657094471171,0.03144763125916748,,,,
BRK.B,2021-06-11,285.05,287.36,285.02,286.495,3916191,286.6094707814125,0.0,0.0002485336983931511,0.012279753624696358,,,,
BRK.B,2021-06-14,286.82,287.24,281.5156,283.08,4032242,283.3443393712226,0.0,0.00031188409873684776,0.02046301813384442,,,,
BRK.B,2021-06-15,283.14,284.965,282.65,284.02,2690750,283.86213307584524,0.0,0.0006376120659620952,0.10485248114227415,,,,
BRK.B,2021-06-16,283.93,284.8,281.08,283.44,3980910,283.5464619207745,0.0,0.000506638427349816,0.054516106086319835,,,,
