symbol,date,open,high,low,close,volume,vwap,drift_factor,amihud_mean,amihud_range,sortino_ratio,ts_mom_rank,max_dd_ratio,rel_strength_ma
CAAP,2021-05-25,5.71,5.75,5.51,5.52,414057,5.666994922921103,0.0,0.3992738934242796,4.8561622096669765,,,,
CAAP,2021-05-26,5.52,5.65,5.42,5.61,175315,5.572433638688138,0.0,0.6194081650791771,4.913940521619702,,,,
CAAP,2021-05-27,5.62,5.77,5.4,5.71,723716,5.652036063916339,0.0,0.5726624327631296,13.715514624219958,,,,
CAAP,2021-05-28,5.75,5.75,5.62,5.69,64890,5.685968301226843,0.0,0.9230097469928165,4.641232711367237,,,,
CAAP,2021-06-01,6.32,6.33,5.57,5.73,425915,5.694582788740969,0.0,0.5561629186076151,4.637129184154849,,,,
CAAP,2021-06-02,5.73,5.79,5.66,5.72,247067,5.711024451396893,0.0,0.7035557712762764,14.366437244046605,,,,
CAAP,2021-06-03,5.79,5.8399,5.55,5.61,381322,5.681961557511175,0.0,0.43999403338201976,4.845579458574228,,,,
CAAP,2021-06-04,5.55,5.68,5.55,5.64,227720,5.618028219304162,0.0,0.760020786055189,9.447926180035505,,,,
CAAP,2021-06-07,5.7,5.8,5.6343,5.73,235975,5.748743093971575,0.0,0.8636208384083177,6.226003426187774,,,,
CAAP,2021-06-08,5.79,5.84,5.65,5.67,121408,5.727466170268373,0.0,0.7963754875503676,6.134273103918998,,,,
CAAP,2021-06-09,5.71,5.71,5.42,5.61,331555,5.5987020339509606,0.0,1.0717085127804347,9.722015179130995,,,,
CAAP,2021-06-10,5.55,5.5641,5.35,5.39,576096,5.433622193060321,0.0,0.7047167574284692,8.950181771199269,,,,
CAAP,2021-06-11,5.45,5.5,5.4,5.445,315487,5.452035768827068,0.0,0.6001933406581017,5.090162040171376,,,,
CAAP,2021-06-14,5.45,5.56,5.22,5.3,237434,5.354308782229783,0.0,1.39539139149351,14.133276799959502,,,,
CAAP,2021-06-15,5.26,5.35,5.2,5.26,127245,5.262761320287221,0.0,1.9916922107798616,14.457552625217554,,,,
CAAP,2021-06-16,5.29,5.38,5.17,5.28,87160,5.270429965579937,0.0,1.5702523354388838,27.7154411310887,,,,
CAAP,2021-06-17,5.28,5.3,5.12,5.24,143414,5.192959664328085,0.0,1.2194003446163328,11.15905371203064,,,,
CAAP,2021-06-18,5.28,5.31,5.15,5.31,111174,5.237631080108187,0.0,1.122405311169281,14.965299212162604,,,,
CAAP,2021-06-21,5.33,5.49,5.25,5.45,152000,5.415358764034731,0.0,1.0274776334432578,14.402736519664376,,,,
CAAP,2021-06-22,5.46,5.46,5.28,5.44,140548,5.381430878892711,0.0,1.2990416819846908,14.167927957549967,,,-0.05061082024432806,-0.026324137508360934
CAAP,2021-06-23,5.45,5.69,5.45,5.68,78660,5.624202972708837,0.0,0.9800809068428483,6.221072015019529,0.15037405146542734,,-0.008726003490401535,-0.02646699719229606
CAAP,2021-06-24,5.76,5.91,5.75,5.91,96758,5.828171690195558,-297410.67186666664,1.5995317276598877,11.214838529743208,0.2641209147641722,,0.0,-0.019717549032680748
CAAP,2021-06-25,5.94,5.94,5.77,5.9,71201,5.830647449239127,-197353.08243333336,1.766435745073564,23.29780418155556,0.17310769668689552,,-0.0016920473773265332,-0.013197605489486897
CAAP,2021-06-28,5.97,5.99,5.77,5.86,145542,5.874760457462047,-444133.9864999999,1.144082628030217,11.728416780818545,0.15797993381684494,,-0.008460236886632777,-0.004632338197198438
CAAP,2021-06-29,5.89,5.89,5.69,5.69,73974,5.766915545551262,-160262.71723333333,1.1377876704917318,11.854633739032243,-0.011556768230923567,,-0.0372250423011844,0.003464253379288129
CAAP,2021-06-30,5.7,5.74,5.62,5.7,61629,5.678201866003719,160008.8676,0.9932949725801882,5.20437906358384,0.0035953572564218442,,-0.035532994923857864,0.011204606018621277
CAAP,2021-07-01,5.74,5.82,5.68,5.77,61542,5.744928110341055,-66578.49910000002,1.623839323499353,8.906331047459473,0.14161733324793543,,-0.02368866328257202,0.019276565231585607
CAAP,2021-07-02,5.77,5.77,5.64,5.74,52248,5.722117065404918,-128448.47883333333,1.7990351476659356,39.94739235643375,0.09637465037320009,,-0.02876480541455162,0.026083050907146133
CAAP,2021-07-06,5.62,5.73,5.53,5.58,87048,5.580812483533348,-258656.276,1.4332258291724405,11.396204200837149,-0.09140767810538705,,-0.055837563451776706,0.029804448586550736
CAAP,2021-07-07,5.6,5.63,5.45,5.59,65511,5.5499932805169285,80843.16233333331,1.1192648530486664,13.984477105862956,-0.04004484292789114,,-0.05414551607445017,0.03324485845832936
CAAP,2021-07-08,5.49,5.62,5.3805,5.54,67853,5.530861883777352,209992.7608,1.8480346989110354,25.973267014460383,-0.033364240475830594,,-0.06260575296108295,0.03137519508192632
CAAP,2021-07-09,5.65,5.7,5.5592,5.67,38163,5.631871398997555,78412.71720000001,1.813186237918013,13.26517827889849,0.2768711086611451,,-0.040609137055837574,0.024471283688255907
CAAP,2021-07-12,5.62,5.6999,5.52,5.685,58938,5.646805933918302,-51113.74059999999,1.8452322964984817,9.279115803281467,0.23850647736770064,,-0.038071065989847774,0.018414801705426198
CAAP,2021-07-13,5.35,5.72,5.35,5.52,95265,5.546453773858302,-354699.6425666666,2.3617196360444406,31.663706109576697,0.22026024499017802,,-0.06598984771573613,0.010329560416170391
CAAP,2021-07-14,5.5,5.6,5.23,5.28,146552,5.364102625461358,-674921.9579666667,1.462163188863701,11.444711986655049,0.0330509131714283,,-0.10659898477157359,0.00281664773493695
CAAP,2021-07-15,5.28,5.35,5.14,5.275,54428,5.249616323092542,-117700.85790000002,2.4650480249397444,25.990659995948253,0.014970043561601157,,-0.10744500846023686,-0.004739338272843785
