symbol,date,open,high,low,close,volume,vwap,drift_factor,amihud_mean,amihud_range,sortino_ratio,ts_mom_rank,max_dd_ratio,rel_strength_ma
CCL,2021-05-25,28.0,29.37,28.0,28.58,66066696,28.771215623625753,0.0,0.008804566678405078,0.3705043886677049,,,,
CCL,2021-05-26,28.9,29.42,28.625,29.37,41238680,29.115344947558935,0.0,0.011128026364223453,0.7938130690491519,,,,
CCL,2021-05-27,30.0,30.0,29.11,29.995,45846416,29.57328697732228,0.0,0.011883927785696389,0.4713887643293651,,,,
CCL,2021-05-28,30.0,30.1,29.41,29.55,42619012,29.727244065911236,0.0,0.007725762046033272,0.25856050301052125,,,,
CCL,2021-06-01,30.0,30.75,29.91,30.15,61420121,30.35087626946876,0.0,0.009311997502570514,0.5918929996190503,,,,
CCL,2021-06-02,30.12,31.5,29.93,31.335,62578774,30.96950439200678,0.0,0.012309892273590438,0.41252876253563797,,,,
CCL,2021-06-03,31.49,31.49,30.35,30.69,40610217,30.761425604256182,0.0,0.009431479034512413,0.4900505046035154,,,,
CCL,2021-06-04,30.5,31.105,30.19,30.55,32234921,30.617093500378044,0.0,0.012634433630387971,2.255051907410988,,,,
CCL,2021-06-07,30.56,31.455,30.55,30.85,40938773,31.082295513089747,0.0,0.009246716509144885,0.3555244969351246,,,,
CCL,2021-06-08,31.0,31.52,30.61,31.09,42966691,30.99378793866004,0.0,0.00654559154592031,0.4387665627552418,,,,
CCL,2021-06-09,31.0,31.45,30.435,30.47,30288965,30.921664038657852,0.0,0.008653781677680867,0.36448311136088546,,,,
CCL,2021-06-10,30.45,30.77,29.41,29.81,48206016,29.92209598931593,0.0,0.008793631937096459,0.32302336083304123,,,,
CCL,2021-06-11,29.78,30.04,29.25,29.9,31901101,29.712820498579855,0.0,0.006240881197467551,0.21873407239969364,,,,
CCL,2021-06-14,29.9,30.08,28.63,28.7095,22711382,29.13485102898624,0.0,0.009333338760165417,0.5354370302989581,,,,
CCL,2021-06-15,28.9,29.39,28.41,28.595,17720531,28.71951113166603,0.0,0.00966418767968553,0.499395172517227,,,,
CCL,2021-06-16,28.67,29.485,28.45,29.315,23846895,29.104011130179966,0.0,0.009869688454324439,0.6212296279638113,,,,
CCL,2021-06-17,29.06,29.72,28.41,28.49,24255879,28.89798881560767,0.0,0.009538708713668891,0.3539058822684168,,,,
CCL,2021-06-18,28.93,28.93,27.725,28.255,21235650,28.189451131369484,0.0,0.011805193669362194,0.474825405906139,,,,
CCL,2021-06-21,28.52,28.68,27.75,28.625,19331068,28.257924134565823,0.0,0.010130590539940136,0.5065106144997702,,,,
CCL,2021-06-22,29.19,29.19,27.795,28.055,17330904,28.16306250162713,0.0,0.012226748811855457,0.97259613139825,,,-0.1046752832296155,-0.020148231758208346
CCL,2021-06-23,28.08,28.49,27.77,28.135,16410470,28.18432539221402,0.0,0.009956699971990963,0.3063131726881707,-0.04755152061912519,,-0.10212222754108824,-0.02730093226510444
CCL,2021-06-24,28.0,28.535,27.39,27.505,29005650,27.755084853468194,285563887.8716,0.011485805522241354,0.3776463568441957,-0.25273782464058725,,-0.12222754108824008,-0.03203917504246001
CCL,2021-06-25,27.46,28.23,27.3,28.15,21014648,27.8862506700691,553593899.0786667,0.009873312692622377,0.40186966485757425,-0.24381280661250618,,-0.10164352959948941,-0.034953194617082795
CCL,2021-06-28,28.1,28.2,26.0,26.13,61424619,26.47956542082906,1305818180.6611998,0.0067799869277704325,0.23724778899243726,-0.3162403938880873,,-0.16610818573480135,-0.03813122083750986
CCL,2021-06-29,26.0,26.49,25.68,25.825,30467644,26.021083924632737,792801121.5098333,0.008314050932037333,0.25820498763745386,-0.40888739348612263,,-0.17584171054731135,-0.04050840322506166
CCL,2021-06-30,25.62,26.48,25.49,26.345,21225700,26.22089463689143,556556843.2942667,0.012941168017097696,0.4206639681519254,-0.46177895286373016,,-0.1526214216789965,-0.04251039791257427
CCL,2021-07-01,26.47,26.85,26.12,26.4,18174880,26.453657676153373,480792053.8251667,0.01552953609677347,0.7599460985405132,-0.39554622922054433,,-0.15085236410421365,-0.04263709440572094
CCL,2021-07-02,26.15,26.42,25.7,26.045,19245064,25.972366761937835,499800426.36496663,0.013972938437755662,1.2259806595077787,-0.4221003526794748,,-0.1622708266323576,-0.04282604835796533
CCL,2021-07-06,26.0,26.2784,24.93,25.01,28993727,25.29577960761879,733418928.1954666,0.01210570098800518,0.4905632274922404,-0.5388301607220868,,-0.19556127372145382,-0.04575031748744529
CCL,2021-07-07,25.0,25.29,23.87,24.12,34717635,24.324060710640758,844473861.4698666,0.008153318872438652,0.3057396847322671,-0.6475241765674064,,-0.20840170659665236,-0.047950900297640486
CCL,2021-07-08,23.99,24.155,22.75,23.7377,36248887,23.55593259496767,853487637.0746,0.010929327720730443,0.44449315242675846,-0.6372223180987887,,-0.20609698996655512,-0.05231001289855641
CCL,2021-07-09,24.02,24.46,23.62,24.29,21580873,24.126562814732583,520672288.0312667,0.020261780378788216,0.703890657060191,-0.5107502850533094,,-0.1876254180602006,-0.05452321256570869
CCL,2021-07-12,24.1,24.1,23.555,23.865,21648446,23.829324384033526,515867842.14423335,0.015910046904581185,0.6048728557235324,-0.5741176118583526,,-0.18591164932628357,-0.05987055353399584
CCL,2021-07-13,23.7,23.78,22.82,22.855,24676226,23.148705439849934,571222687.0411667,0.014994631593146113,0.48493383320128747,-0.575558170671558,,-0.22036500085280575,-0.06184510133339127
CCL,2021-07-14,22.52,23.36,22.48,22.63,24909117,22.839793996894112,568481823.0578667,0.01824182428627436,1.140158333782869,-0.5957496768114596,,-0.22804025243049642,-0.06336081773477398
CCL,2021-07-15,22.4,22.58,21.37,21.935,41158255,21.90687148995424,901477751.3091,0.01429205257800493,0.5455844310534631,-0.7503982489872205,,-0.23371179039301315,-0.06705483954012836
CCL,2021-07-16,22.0,22.4,20.8,20.9,38044020,21.417049488217415,814790659.0707333,0.02156402899881188,1.826980853232476,-0.7614225148105325,,-0.2698689956331878,-0.07475697871741138
CCL,2021-07-19,20.12,20.7,19.19,19.69,80578768,19.72974874674306,1589228411.5021,0.012123789700125398,0.5841235226531248,-0.8209186370339915,,-0.3121397379912664,-0.08432282683785552
