symbol,date,open,high,low,close,volume,vwap,drift_factor,amihud_mean,amihud_range,sortino_ratio,ts_mom_rank,max_dd_ratio,rel_strength_ma
EZPW,2021-05-25,7.27,7.32,7.07,7.09,206731,7.169249125191326,0.0,0.32255029129995744,7.652207183403943,,,,
EZPW,2021-05-26,7.07,7.16,7.03,7.1,238791,7.082872776472295,0.0,0.29587866188757145,1.997778470312666,,,,
EZPW,2021-05-27,7.16,7.43,7.16,7.39,335924,7.319726236390552,0.0,0.2603213672413782,1.845285505869926,,,,
EZPW,2021-05-28,7.37,7.395,7.28,7.335,165905,7.333549284429402,0.0,0.2688558362308963,1.8688375082908533,,,,
EZPW,2021-06-01,7.36,7.62,7.3597,7.585,294201,7.495646381668514,0.0,0.28570681939682485,3.5920227105614413,,,,
EZPW,2021-06-02,7.6,7.6829,7.4,7.46,220883,7.485692209600822,0.0,0.32828039323740466,3.593793518545046,,,,
EZPW,2021-06-03,7.35,7.55,7.27,7.51,236228,7.43609599144298,0.0,0.31727925726075484,3.559796681477306,,,,
EZPW,2021-06-04,7.52,7.52,7.4031,7.46,97084,7.459542496531444,0.0,0.3468581086109881,3.4765679320918994,,,,
EZPW,2021-06-07,7.48,7.49,7.085,7.115,774400,7.240136078641435,0.0,0.1922179595583712,1.9643200898597304,,,,
EZPW,2021-06-08,7.06,7.1,6.89,7.09,447380,7.016860039489017,0.0,0.2725013176682854,3.0244344055196537,,,,
EZPW,2021-06-09,6.98,7.049,6.9023,6.95,266703,6.964746263946275,0.0,0.33823850478937584,4.116852748351896,,,,
EZPW,2021-06-10,7.0,7.09,6.88,6.957,344206,6.961484351231327,0.0,0.20262468426351665,2.0973594244540807,,,,
EZPW,2021-06-11,6.92,7.19,6.89,7.15,565006,7.016247208702084,0.0,0.2613038151421019,2.0320990363495723,,,,
EZPW,2021-06-14,7.12,7.4,7.04,7.205,588856,7.294685936742758,0.0,0.24874812236488977,6.031476811346018,,,,
EZPW,2021-06-15,7.23,7.3,7.122,7.2,320209,7.197364088558602,0.0,0.25648947684210816,1.9560896984355456,,,,
EZPW,2021-06-16,7.001,7.2,7.001,7.085,194276,7.114346613065581,0.0,0.36285513529677116,5.94285352046295,,,,
EZPW,2021-06-17,7.06,7.22,6.88,6.905,329847,7.010671106704815,0.0,0.255192425154133,3.2742484289850498,,,,
EZPW,2021-06-18,6.89,6.89,6.37,6.44,785206,6.649334514127418,0.0,0.2654582461161334,4.3035141118489095,,,,
EZPW,2021-06-21,6.44,6.785,6.38,6.77,412550,6.663317194198521,0.0,0.3152907892100998,14.60308806612766,,,,
EZPW,2021-06-22,6.8,6.8,6.5999,6.695,217708,6.660031027185956,0.0,0.33669499012897136,4.566780143671112,,,-0.11733684904416608,-0.026513770560433136
EZPW,2021-06-23,6.75,6.815,6.71,6.74,185580,6.768226998419005,0.0,0.36365477156055104,10.957847352640323,-0.1209764155421101,,-0.11140408701384308,-0.027071521398219223
EZPW,2021-06-24,6.74,6.77,6.58,6.66,163696,6.637276710690957,883745.9385,0.38550389048256556,3.576128143548671,-0.1599264117415078,,-0.12195121951219512,-0.028242369157467917
EZPW,2021-06-25,6.65,6.69,6.29,6.37,270957,6.479192674360145,355345.32039999985,0.4327016718808465,3.2187273280664757,-0.3749175017237053,,-0.16018457481872117,-0.032285581620554726
EZPW,2021-06-28,6.4,6.4,6.25,6.37,373046,6.326639406846886,2199655.2641666667,0.24130714136019057,2.5235319352565124,-0.3512609442721294,,-0.16018457481872117,-0.03755448651552162
EZPW,2021-06-29,6.39,6.39,6.16,6.21,257442,6.219788898211136,1601234.8935333334,0.5321229962784298,4.8628030626142955,-0.5100005912310919,,-0.17310252996005326,-0.04230096566147523
EZPW,2021-06-30,6.2,6.21,5.97,6.04,282847,6.0859627583108145,1721396.3083,0.3330509128881571,2.7824151362917693,-0.5329122721522048,,-0.19573901464713717,-0.047632960302021576
EZPW,2021-07-01,6.1,6.22,6.0,6.16,236453,6.134428574811648,1450504.0398,0.43819371859834794,2.9210555525993525,-0.4984287497815989,,-0.1742627345844504,-0.04913994180341086
EZPW,2021-07-02,6.17,6.17,5.965,5.99,185892,6.0069746551758,1116648.5326,0.5094968453941012,9.981090823282088,-0.5509878034628658,,-0.16863289382373348,-0.04542810838700684
EZPW,2021-07-06,5.92,6.1,5.91,5.99,273849,6.019106287528065,1648326.2377333334,0.3440446294034534,2.7456592842525462,-0.455166438670737,,-0.16863289382373348,-0.04908367755463938
EZPW,2021-07-07,5.95,5.95,5.8,5.835,218685,5.8545817957333215,1137393.97,0.3754890141427527,2.898076952008549,-0.5165417007935745,,-0.19014573213046493,-0.05308149124203776
EZPW,2021-07-08,5.74,5.815,5.66,5.78,188336,5.767988865821062,943866.1010333332,0.5383073848722539,10.442002507394173,-0.48789633452319875,,-0.19777931991672448,-0.05930204200731981
EZPW,2021-07-09,5.89,6.065,5.83,6.035,272472,5.966225263268423,1625629.3299333334,0.4417217847543341,4.657182035993728,-0.3690807460237879,,-0.16238723108952113,-0.06225410929220987
EZPW,2021-07-12,6.03,6.235,5.99,6.195,301084,6.156951577854038,1853759.6088666667,0.3535265774719665,6.477522995102392,-0.3724702468372402,,-0.14018043025676608,-0.05801437877130078
EZPW,2021-07-13,6.18,6.2,6.08,6.115,255331,6.142150464429591,1568281.4202333333,0.3283756917041663,2.656875195901205,-0.4369364766564404,,-0.15069444444444446,-0.053964025466999965
EZPW,2021-07-14,6.11,6.155,6.005,6.02,205216,6.07059542124691,1245783.3099666666,0.39934570909607886,2.696289905068389,-0.4876091812814811,,-0.15031757233592102,-0.04813892006148657
EZPW,2021-07-15,6.08,6.08,5.95,6.015,170291,6.018662201760162,1024924.005,0.48109476713973187,3.0031597271637103,-0.43625472413235405,,-0.12889210716871835,-0.040411698184207534
EZPW,2021-07-16,6.08,6.1,5.91,5.93,210846,5.9777427267607965,1256097.1096333335,0.33588120452927933,3.8416762247391727,-0.4083371651210266,,-0.12407680945347122,-0.0365873286642211
EZPW,2021-07-19,5.79,5.9097,5.7101,5.76,299339,5.8256246156808,1602999.7355,0.42057369004116724,10.328909094554433,-0.4023763744706739,,-0.14918759231905465,-0.035009704018419074
EZPW,2021-07-20,5.77,5.89,5.7,5.78,186152,5.815304386200212,976035.0621,0.622753031112402,4.424279169834989,-0.5845675199717792,,-0.14243323442136502,-0.0306463460255173
EZPW,2021-07-21,5.78,5.975,5.78,5.88,157612,5.918827355573226,932878.2171666666,0.40253475672070976,4.091206186797595,-0.46558474273263306,0.8421052631578947,-0.12759643916913954,-0.02342564262822444
EZPW,2021-07-22,5.89,5.89,5.69,5.7,238980,5.735436097860111,1370654.5186666667,0.48425093848308176,7.797653997699452,-0.5921828929552868,0.5789473684210527,-0.14414414414414412,-0.016344603771515698
EZPW,2021-07-23,5.73,5.745,5.59,5.68,204204,5.656241848673924,1155027.2104666666,0.6247022473618689,6.243074089571065,-0.5542049731926822,0.47368421052631576,-0.10832025117739408,-0.014225524151306956
EZPW,2021-07-26,5.7,5.93,5.7,5.805,111531,5.8130292869241895,648332.9694,0.5805603549387379,5.003838694781858,-0.3621391010436969,0.8421052631578947,-0.08869701726844592,-0.01609523176109462
EZPW,2021-07-27,5.74,5.775,5.72,5.7387,251774,5.7455465904605285,1349312.7539333333,0.3865053036829481,3.040419334581635,-0.4186549993857225,0.7368421052631579,-0.0758937198067633,-0.01720312287728898
EZPW,2021-07-28,5.75,5.86,5.725,5.8,102498,5.788521895386012,593311.9172333333,0.6793106660067793,4.101412061422276,-0.27230761419927024,0.9473684210526315,-0.06376109765940285,-0.01751647330158146
EZPW,2021-07-29,5.82,5.89,5.8,5.83,88378,5.834155799330999,509236.34123333334,0.561359113577483,5.768913035153947,-0.13961758020718312,1.0,-0.058918482647296266,-0.018903124112849112
EZPW,2021-07-30,5.77,5.84,5.72,5.73,177493,5.761991038519504,557638.0891333334,0.4634526465182945,7.009577044854374,-0.30621033059081726,0.9473684210526315,-0.07506053268765134,-0.018717154396371893
EZPW,2021-08-02,5.73,5.81,5.63,5.64,173751,5.6923530109175955,862432.238,0.4728722731533621,2.9571905270043843,-0.26984257277360024,0.8947368421052632,-0.08958837772397099,-0.017834925651000866
EZPW,2021-08-03,5.63,5.675,5.555,5.59,289130,5.635596059673077,1109801.0220666667,0.4373234264270429,2.971027255203556,-0.31913971255572526,0.7368421052631579,-0.09765940274414853,-0.017724826619285095
EZPW,2021-08-04,5.52,5.68,5.51,5.62,441741,5.573810930839438,2343721.221733333,0.43701147760853565,12.846865364619871,-0.17565607889649165,0.8421052631578947,-0.09281678773204194,-0.020372297825990926
EZPW,2021-08-05,5.34,6.0,5.3,5.905,497545,5.808874109209435,1688745.578,0.3147923518643783,3.494060097827212,0.13136879972609591,1.0,-0.04681194511702991,-0.017909766884601996
EZPW,2021-08-06,6.15,6.15,5.97,6.0,316425,6.01863372594856,-1127848.5200666666,0.41443615919308446,10.705276812052743,-0.010271736217681413,1.0,-0.03147699757869249,-0.012132744850659627
EZPW,2021-08-09,5.97,6.11,5.88,6.04,202573,6.028184662483514,431183.5741666666,0.41883196575488474,4.546987190097888,-0.11055525512244195,0.9473684210526315,-0.0122649223221587,-0.0067876910502728816
EZPW,2021-08-10,6.03,6.09,5.99,6.04,96430,6.045590200835904,237944.00973333337,0.4618617336393946,2.7731558513127683,-0.044930463203786006,1.0,0.0,-0.0009759363848942382
EZPW,2021-08-11,6.07,6.265,6.03,6.255,259565,6.194725547999941,893968.6959333335,0.4199704583178733,2.7007173104732507,0.2128102945646265,1.0,0.0,0.004808172431578939
EZPW,2021-08-12,6.26,6.27,6.11,6.205,134260,6.173544137990502,-343585.7115666666,0.5004904070449215,3.610945860132718,0.17824958546465267,0.9473684210526315,-0.007993605115907298,0.009589602878353087
EZPW,2021-08-13,6.22,6.3,6.15,6.16,112622,6.214085751451207,-464688.79136666673,0.4566640023641805,7.76678920921571,0.21652471704088033,0.8947368421052632,-0.0151878497202238,0.014948098579195435
EZPW,2021-08-16,6.13,6.31,6.08,6.27,205209,6.2400598347697755,-1007070.6986333333,0.3711396790252756,2.3161433803591027,0.5363800908509946,1.0,0.0,0.021257138013325294
EZPW,2021-08-17,6.21,6.255,6.16,6.22,132892,6.21345775215918,-825718.8276,0.3823182851924553,2.6183288254227577,0.4708406223650163,0.8947368421052632,-0.00797448165869219,0.02812070401567257
EZPW,2021-08-18,6.2,6.3,6.18,6.215,93149,6.2281095334707945,-556768.0149333334,0.47219566041232647,5.753236770966041,0.3612558392336357,0.8421052631578947,-0.00877192982456132,0.03525978834626109
EZPW,2021-08-19,6.15,6.25,6.15,6.1699,221214,6.193341166622688,-888561.1995,0.39712102847906766,2.6056730713970335,0.7260486561021665,0.6842105263157895,-0.015964912280701626,0.03562418253988753
EZPW,2021-08-20,6.13,6.34,6.13,6.3,162413,6.268381475825645,-984889.6873,0.5314083645966088,6.465319380208576,0.9296730702414607,0.8421052631578947,0.0,0.035272089127622364
EZPW,2021-08-23,6.32,6.405,6.32,6.37,130516,6.370975192057702,-807104.3181666667,0.34146710979826056,2.4605935935598175,0.8348325416715437,0.7894736842105263,0.0,0.03589716943262089
EZPW,2021-08-24,6.38,6.56,6.35,6.55,287920,6.462783232610685,-1231061.895,0.37616525761995295,4.824717064067689,1.2203178907851462,1.0,0.0,0.03738237971020997
EZPW,2021-08-25,6.58,6.61,6.5,6.61,85223,6.55057131329885,-558259.3390333334,0.32151746763035205,2.334430515639942,1.206623788578062,0.9473684210526315,0.0,0.036312055734005755
EZPW,2021-08-26,6.66,6.715,6.53,6.65,211845,6.655920458038975,-1407759.0694333334,0.4076103557959252,18.53426406200984,1.214535054031619,1.0,0.0,0.03664030893343262
