symbol,date,open,high,low,close,volume,vwap,drift_factor,amihud_mean,amihud_range,sortino_ratio,ts_mom_rank,max_dd_ratio,rel_strength_ma
MFC,2021-05-25,20.75,20.9,20.54,20.575,4732804,20.66871952174647,0.0,0.004233356974088322,0.05797662205869813,,,,
MFC,2021-05-26,20.51,20.7,20.39,20.645,3388820,20.596577630345212,0.0,0.007743025187707006,0.11773874267442724,,,,
MFC,2021-05-27,20.67,21.0,20.67,20.89,3769629,20.8814306716213,0.0,0.007948141591780105,0.15725443155793994,,,,
MFC,2021-05-28,20.97,21.04,20.75,20.91,2911767,20.861513953817894,0.0,0.008551541373361261,0.23147280125029362,,,,
MFC,2021-06-01,21.13,21.39,20.945,21.06,5734075,21.133378501571705,0.0,0.0054713138915146245,0.11174976099469683,,,,
MFC,2021-06-02,21.07,21.11,20.81,20.885,3324746,20.91922212061707,0.0,0.006573048248796881,0.11382253850592677,,,,
MFC,2021-06-03,21.05,21.15,20.75,20.9057,3170063,20.886367866642754,0.0,0.022250493628698898,3.3022767490031115,,,,
MFC,2021-06-04,20.77,20.97,20.56,20.9,2600074,20.852829142657654,0.0,0.006179031916748497,0.11463073314122724,,,,
MFC,2021-06-07,20.92,20.978,20.755,20.8,2934035,20.80907978657371,0.0,0.005185280544697521,0.11470083798525081,,,,
MFC,2021-06-08,20.77,20.88,20.625,20.8,4722629,20.766803907399837,0.0,0.003407269626633099,0.08276837708314702,,,,
MFC,2021-06-09,20.8,20.83,20.56,20.635,4296405,20.616101493783706,0.0,0.004407250432363448,0.11237740215381135,,,,
MFC,2021-06-10,20.78,20.84,20.405,20.41,6129053,20.606289555167244,0.0,0.0024858865542115656,0.060822820753413914,,,,
MFC,2021-06-11,20.44,20.55,20.31,20.3501,4562661,20.414491090396545,0.0,0.003707632606691461,0.11996961409583956,,,,
MFC,2021-06-14,20.42,20.448,20.175,20.28,2094287,20.24866864186545,0.0,0.010139761692930618,0.24471046102834793,,,,
MFC,2021-06-15,20.52,20.52,20.14,20.285,3306559,20.255072056469118,0.0,0.005641967116598436,0.23054176761977435,,,,
MFC,2021-06-16,20.24,20.2988,20.08,20.11,3288014,20.170811640410633,0.0,0.008816970000949113,0.20033663365815987,,,,
MFC,2021-06-17,20.07,20.135,19.59,19.66,3768756,19.834940904071917,0.0,0.010798669604623428,0.743665826320622,,,,
MFC,2021-06-18,19.64,19.64,19.23,19.41,4349122,19.390508053725128,0.0,0.013825898599801453,1.338349802980178,,,,
MFC,2021-06-21,19.41,19.54,19.32,19.51,3916777,19.448801282295747,0.0,0.007074362780587107,0.42468739689629803,,,,
MFC,2021-06-22,19.49,19.51,19.27,19.46,2957984,19.374204617446594,0.0,0.006633363111997803,0.23284299857526977,,,-0.07597340930674257,-0.020222737998837115
MFC,2021-06-23,19.44,19.53,19.31,19.35,1693663,19.37666724383765,0.0,0.009163330612380009,0.24001034284449452,-0.5151841441371703,,-0.08119658119658102,-0.023586159350665437
MFC,2021-06-24,19.2523,19.6989,19.25,19.62,3565039,19.491263640472507,69438988.1209,0.010909892416230776,0.26638919567906655,-0.4256730951841425,,-0.06837606837606824,-0.02501189027271611
MFC,2021-06-25,19.97,20.04,19.625,20.0001,3238286,19.914600944954564,60960435.22896667,0.010651359716415508,0.12497794295472921,-0.3619982200643988,,-0.05032763532763529,-0.02459830773326932
MFC,2021-06-28,20.12,20.12,19.565,19.6886,2897440,19.674294873301886,54906926.27103333,0.010885942486976946,0.17177551910624284,-0.47131893877354974,,-0.06511870845204171,-0.024577136701111058
MFC,2021-06-29,19.76,19.84,19.51,19.585,2180384,19.60540897176819,42747320.0355,0.011217209462525319,0.20625260368687046,-0.5818935602470066,,-0.0631741582439238,-0.02448090113016288
MFC,2021-06-30,19.54,19.69,19.47,19.685,1861115,19.576024014403448,33039774.173566666,0.014404316426434026,0.15219494638466602,-0.46648048054096647,,-0.058390773808100205,-0.023682228042141706
MFC,2021-07-01,19.81,19.92,19.703,19.85,1308397,19.84117457089334,25960133.285033334,0.009569971949969393,0.2188591647185534,-0.40726568176211364,,-0.05023923444976064,-0.020158906033256208
MFC,2021-07-02,20.0,20.0,19.63,19.79,1648941,19.759060744340236,29716598.342833333,0.016246834263474653,0.24453243210296158,-0.4351156055934748,,-0.04855769230769236,-0.015531503793574042
MFC,2021-07-06,19.8,19.83,19.395,19.5,3392232,19.506087672501902,62128403.797466666,0.008271028656014125,0.19864878697724303,-0.4880475227609834,,-0.0625,-0.012365985820166459
MFC,2021-07-07,19.5,19.64,19.245,19.315,3385281,19.331321870217906,65432286.632133335,0.013792561470680077,1.6970275501781236,-0.5696800636421896,,-0.06396898473467416,-0.009398382012834272
MFC,2021-07-08,19.04,19.15,18.74,18.89,3227664,18.88685621484552,51456648.6645,0.016336736728538113,2.158402924281709,-0.5955504812540033,,-0.07447329740323372,-0.007349991180543247
MFC,2021-07-09,19.02,19.3468,19.02,19.265,3157181,19.255270374520755,60792373.7763,0.01217296262149248,0.2938533173570131,-0.38001940687627195,,-0.05332160529923691,-0.0062662001706964565
MFC,2021-07-12,19.41,19.56,19.15,19.427,4783612,19.42404848856188,86869554.45179999,0.03354936650397269,6.083130474124732,-0.29930110987549763,,-0.042297263988168576,-0.006849076612704064
MFC,2021-07-13,19.45,19.49,19.08,19.25,3354662,19.18320939776739,64353183.60473333,0.007524790132801196,0.2634344732023625,-0.33730147184231485,,-0.05102292334237124,-0.00647694539727528
MFC,2021-07-14,19.26,19.4093,19.0638,19.225,2263511,19.180450039223643,43415159.64873333,0.01166941873900219,0.27339913868192145,-0.3501433863428921,,-0.044007956240676216,-0.005624046345382272
MFC,2021-07-15,19.13,19.37,18.94,19.14,2708279,19.125943973829806,47007924.4195,0.01686195257442696,1.4368909293025118,-0.32190557446665974,,-0.04300478497607507,-0.005946039824913707
MFC,2021-07-16,19.15,19.31,18.94,18.98,2936813,19.06093959955905,55859260.0082,0.0064429064811609895,0.13695007526018824,-0.2626221650863659,,-0.05100474497627505,-0.008681786704923478
MFC,2021-07-19,18.8,18.82,18.25,18.465,5037662,18.403921792960002,79669064.92403334,0.019459841393551985,1.9953934915911915,-0.30512905034534715,,-0.07675461622691881,-0.013097310607773638
MFC,2021-07-20,18.41,18.85,18.32,18.69,3461337,18.698596481725552,61548936.703600004,0.007992651134065621,0.141278796326631,-0.26071278403962983,,-0.0655046724766375,-0.01519129479706971
MFC,2021-07-21,18.85,19.35,18.85,19.285,4205114,19.235271182081263,80565992.96823333,0.005482968091525541,0.11553476031484423,-0.043014756572814915,1.0,-0.03575482122589391,-0.014901007148100498
MFC,2021-07-22,19.29,19.33,18.955,19.09,2907921,19.083648972100622,26314128.242533334,0.009460378764018952,0.13644973614642839,-0.07049142770013408,1.0,-0.0455047724761376,-0.01320445507121204
MFC,2021-07-23,19.2,19.25,19.045,19.07,1578098,19.107463117119348,21801483.885333333,0.01430947414658581,0.2731134551514404,-0.16455276385121048,0.7894736842105263,-0.04650476747616261,-0.012808957329729309
MFC,2021-07-26,18.78,19.22,18.78,19.13,1525545,19.134956740793054,28118058.591133334,0.01508990146401587,0.26686920918833434,-0.26590487859810585,0.8947368421052632,-0.03627204030226716,-0.012121335318111215
