symbol,date,open,high,low,close,volume,vwap,drift_factor,amihud_mean,amihud_range,sortino_ratio,ts_mom_rank,max_dd_ratio,rel_strength_ma
OKTA,2021-05-25,243.5,245.0,239.13,244.22,1313631,242.88893310645395,0.0,0.0022591533448285913,0.09120627134319602,,,,
OKTA,2021-05-26,246.9,248.9,242.025,246.805,1861817,245.96177569304479,0.0,0.0024499815196322057,0.14633387308850349,,,,
OKTA,2021-05-27,239.7,239.7,215.62,222.8502,8929765,221.46444566093635,0.0,0.0031539439993610134,0.13310439377598154,,,,
OKTA,2021-05-28,223.99,225.85,219.33,222.465,2792236,223.1318258120366,0.0,0.0016541505020323517,0.04964232773780917,,,,
OKTA,2021-06-01,224.5,224.5,216.73,218.38,2188876,219.21048966589757,0.0,0.0014004769368943333,0.055064976672464065,,,,
OKTA,2021-06-02,219.0,221.7,214.5,215.5499,1782028,217.06560236907865,0.0,0.0013337370147867476,0.045652262355585414,,,,
OKTA,2021-06-03,213.8,216.9999,209.65,210.18,2712797,211.25144366161493,0.0,0.0017462813345815074,0.15052214430332647,,,,
OKTA,2021-06-04,212.5,215.69,211.0005,213.523,1536581,213.98119811763772,0.0,0.00223959347510254,0.162923831072353,,,,
OKTA,2021-06-07,213.6,217.15,210.86,216.415,1711331,215.22705255229087,0.0,0.0016935980828111624,0.09764595105992667,,,,
OKTA,2021-06-08,216.0,221.97,214.5,216.87,1383797,217.662868248954,0.0,0.002617402237371928,0.13863926109436392,,,,
OKTA,2021-06-09,219.06,221.0,216.1,217.23,1141493,217.86175710450948,0.0,0.0019457955005709876,0.09358260294915158,,,,
OKTA,2021-06-10,216.96,221.99,215.0,221.65,1525103,218.9141029598205,0.0,0.003041310859788106,0.24474285893359615,,,,
OKTA,2021-06-11,223.25,226.45,219.0,226.22,1471665,223.515408618083,0.0,0.002141450721402725,0.1477655452082021,,,,
OKTA,2021-06-14,226.5,231.82,225.71,227.48,1913264,228.81001610396217,0.0,0.0017530125187160573,0.07514240181267456,,,,
OKTA,2021-06-15,227.67,230.0,223.772,224.3,1093279,226.1661458721861,0.0,0.002239365840617098,0.10049707638926597,,,,
OKTA,2021-06-16,225.34,227.36,219.24,223.9,2460589,223.37671006426962,0.0,0.0012209039803941378,0.008979031667273004,,,,
OKTA,2021-06-17,222.0,233.75,222.0,232.79,2344271,230.4848454297723,0.0,0.0017535977899654442,0.1567602837881103,,,,
OKTA,2021-06-18,232.73,242.6,228.8,239.26,2212524,238.90118125966737,0.0,0.0030164631712068027,0.33644069518163094,,,,
OKTA,2021-06-21,239.26,239.26,232.32,233.11,1396296,235.32948160900767,0.0,0.0030337669674559012,0.4310576737219517,,,,
OKTA,2021-06-22,233.2,242.0,233.2,241.5,1391763,239.94200782245082,0.0,0.003168612061418283,0.3619638774716336,,,-0.021494702295334456,0.013330215767325404
OKTA,2021-06-23,243.17,245.205,240.5,242.16,860946,242.5605247526917,0.0,0.002250204397186108,0.020153538069122408,0.00014616150820155239,,-0.018820526326452147,0.024841766015987643
OKTA,2021-06-24,246.0,249.0,244.0,245.46,998472,246.5438267748762,34522012.962699994,0.0023858061326295986,0.08312897460406539,0.006957508254766001,,0.0,0.03570304483050735
OKTA,2021-06-25,247.49,248.02,241.63,246.47,1344815,244.51323424738536,8216733.970400006,0.0023455870961977742,0.4371104310795735,0.5880557786499484,,0.0,0.03923936439708764
OKTA,2021-06-28,247.11,250.68,246.0,247.27,842349,248.37472708429743,-209218202.98473334,0.002692210587275,0.07550163234670403,0.6132293846797272,,0.0,0.04226623313506872
OKTA,2021-06-29,249.94,250.43,245.39,248.16,848802,247.45331262842316,-208413080.96563333,0.0024067144915432223,0.08894429681146312,0.7832488000884792,,0.0,0.045900903406191684
