symbol,date,open,high,low,close,volume,vwap,drift_factor,amihud_mean,amihud_range,sortino_ratio,ts_mom_rank,max_dd_ratio,rel_strength_ma
POWL,2021-05-25,34.71,34.95,33.83,33.83,11238,34.35704641688821,0.0,0.3674794656731453,1.9783787927628944,,,,
POWL,2021-05-26,34.04,34.46,33.53,34.39,24924,33.95677962203741,0.0,0.34042278499760914,3.9379470554277525,,,,
POWL,2021-05-27,34.78,35.07,34.45,34.58,14433,34.668211575301044,0.0,0.40736267247350433,1.3727181213769073,,,,
POWL,2021-05-28,34.8,34.8,33.88,34.21,13456,34.248061087965034,0.0,0.46901346048603476,3.365475775153881,,,,
POWL,2021-06-01,34.7,35.345,34.13,34.83,34161,34.97700481932565,0.0,0.3617466608287101,4.030624347898415,,,,
POWL,2021-06-02,35.08,35.1,34.36,34.86,14909,34.610444809599606,0.0,0.359060087918837,2.031586607992479,,,,
POWL,2021-06-03,34.46,34.66,33.92,34.46,22270,34.24553743450041,0.0,0.39700330801731654,2.781781725815474,,,,
POWL,2021-06-04,34.58,34.8735,34.07,34.6,9562,34.70075815725298,0.0,0.7181845279407735,2.3422239689593067,,,,
POWL,2021-06-07,34.46,34.755,34.0,34.425,12838,34.41744132001266,0.0,0.41396771140205746,2.8499794393164133,,,,
POWL,2021-06-08,34.39,34.93,34.29,34.53,8082,34.59645134450887,0.0,0.5345915743413797,2.396743338203685,,,,
POWL,2021-06-09,34.57,34.7,33.94,34.69,16990,34.495107141435454,0.0,0.4629304115065664,3.060033782764004,,,,
POWL,2021-06-10,34.7,34.77,34.2,34.2,10461,34.53744391864907,0.0,0.42989687785722613,1.4899142589315852,,,,
POWL,2021-06-11,34.45,35.34,34.45,34.98,19630,34.979643898776544,0.0,0.2908538509316084,1.4183382818897416,,,,
POWL,2021-06-14,35.25,35.25,34.08,34.09,16222,34.61426060080881,0.0,0.4579507424921659,3.078961171186882,,,,
POWL,2021-06-15,34.37,35.03,34.0854,34.5,9829,34.421894902803515,0.0,0.604039169603965,6.850839020594114,,,,
POWL,2021-06-16,34.43,35.24,34.14,35.09,33048,34.99554057733146,0.0,0.16310094912385537,2.055967344541024,,,,
POWL,2021-06-17,34.83,35.3,34.18,34.18,28150,34.549984369437105,0.0,0.4008345966211688,2.4281667341087845,,,,
POWL,2021-06-18,33.41,33.62,32.21,32.495,79004,32.96444719043345,0.0,0.3302517968684831,2.295240629984095,,,,
POWL,2021-06-21,32.92,33.4675,32.2,32.29,16787,32.54452088717507,0.0,0.438509417798481,2.866034912682453,,,,
POWL,2021-06-22,32.21,32.42,31.22,32.18,24532,31.99634950267732,0.0,0.28261221571982836,2.6623791196915287,,,-0.08292960957537765,-0.008808768086855823
POWL,2021-06-23,32.24,32.39,31.32,31.64,28788,32.00594901346672,0.0,0.2339697430350815,1.3835753008837581,-0.24829948352633333,,-0.09831860929039615,-0.01457678899193282
POWL,2021-06-24,31.85,32.51,31.2345,32.51,21321,32.14173142440217,659004.0757,0.5672910297500755,11.369099988501802,-0.20569753925449064,,-0.07352522086064417,-0.01682515411522212
POWL,2021-06-25,32.54,32.83,31.51,31.67,29979,32.294062644951815,659336.8307,0.4169856210817556,2.644423289049964,-0.3178659811986023,,-0.09746366486178404,-0.02238221278701935
POWL,2021-06-28,31.88,31.88,30.73,30.9,14066,31.107065555217467,328667.6041,0.5279112631260173,1.870349443779354,-0.358512342221811,,-0.11940723852949575,-0.027053126031895358
POWL,2021-06-29,30.71,30.96,30.4,30.62,15999,30.62100699625146,256026.5542666667,0.47432137253872714,2.5993093325590215,-0.46547788436187587,,-0.12738671986320893,-0.03253053503983161
POWL,2021-06-30,30.82,31.35,30.415,31.06,28218,31.004595161469865,664773.0129333334,0.3929768907676786,1.6627021977859657,-0.41517527825140793,,-0.11484753491023092,-0.03912134863733163
POWL,2021-07-01,31.26,31.35,30.67,30.81,14456,30.894309965852084,431713.6648666667,0.48147368460087886,1.7659700086174792,-0.4020155407044099,,-0.1219720718153321,-0.04400870829860959
POWL,2021-07-02,30.98,31.08,30.49,31.0,24135,30.865525727492216,673143.9434333333,0.29165826927362554,1.158429809470357,-0.39418795293384545,,-0.11655742376745515,-0.04332228770762103
POWL,2021-07-06,30.88,30.88,29.57,29.75,10527,29.962277337611255,202959.88646666665,0.7203667856034749,6.117169997883938,-0.47397331396340775,,-0.15218010829296102,-0.04425239433108474
POWL,2021-07-07,29.77,30.06,29.58,29.96,17605,29.83285307202698,438890.25833333336,0.6348348663980835,2.8105203397263203,-0.4605196402710896,,-0.146195497292676,-0.04436375999803788
POWL,2021-07-08,29.4,29.73,28.995,29.54,32740,29.318268116464267,820546.7714666667,0.5260398189628782,3.2402805192542594,-0.5334786997424562,,-0.15816471929324605,-0.043242445496416426
POWL,2021-07-09,29.69,30.96,29.6401,30.68,14410,30.4986615845266,439485.7134333333,0.53675538943033,4.71612192543377,-0.3462097754185788,,-0.1256768310059847,-0.04369906818751634
POWL,2021-07-12,30.5,30.6799,30.12,30.48,4830,30.375229123470582,55032.91666666667,0.8349918144096766,3.8689998241225734,-0.45119885512828434,,-0.13137646053006558,-0.04067228507874887
POWL,2021-07-13,30.1599,30.24,29.7,30.08,11853,30.025811563854415,339053.16446666664,0.6874941350900484,4.117819038312117,-0.417913288368957,,-0.14277571957822754,-0.037177223613775845
