symbol,date,open,high,low,close,volume,vwap,drift_factor,amihud_mean,amihud_range,sortino_ratio,ts_mom_rank,max_dd_ratio,rel_strength_ma
SFM,2021-05-25,25.51,25.815,25.35,25.685,1445899,25.624625313801133,0.0,0.009761736479270963,0.08212036976541176,,,,
SFM,2021-05-26,25.57,25.87,25.44,25.755,1387014,25.704835491903044,0.0,0.008502713086472696,0.09061363904305896,,,,
SFM,2021-05-27,25.99,26.38,25.8,26.11,1812797,26.159343442481283,0.0,0.008255512771760232,0.1595937922333787,,,,
SFM,2021-05-28,26.21,26.94,26.21,26.585,1788895,26.72138198944026,0.0,0.0071763872271396615,0.16566260985640774,,,,
SFM,2021-06-01,26.84,27.03,26.51,26.595,1249135,26.66306246682683,0.0,0.007758051086084111,0.06768022294485264,,,,
SFM,2021-06-02,26.9971,27.4,26.34,27.4,1320010,26.990040621535492,0.0,0.020562472245303037,3.297344032932928,,,,
SFM,2021-06-03,27.3,27.89,27.22,27.505,1151962,27.554331222065535,0.0,0.008218467231787027,0.09492997849340742,,,,
SFM,2021-06-04,27.54,27.68,27.11,27.565,1057209,27.444148778654988,0.0,0.011148532893452755,0.32608779747267613,,,,
SFM,2021-06-07,27.75,28.09,27.48,27.75,1045793,27.746874369624827,0.0,0.010314129929395052,0.1270368162089288,,,,
SFM,2021-06-08,27.8,28.17,27.74,28.005,1798864,28.015515130660084,0.0,0.0060371386929067095,0.12681015793952796,,,,
SFM,2021-06-09,27.85,28.005,27.63,27.655,1298398,27.81712135862788,0.0,0.008142010815467426,0.08123300959797745,,,,
SFM,2021-06-10,27.77,29.35,27.74,29.01,4274029,28.959016215815655,0.0,0.003859140499262544,0.05463385564022024,,,,
SFM,2021-06-11,29.2,29.22,28.68,29.01,1319460,28.942092769263976,0.0,0.008086944719100816,0.5284041167044305,,,,
SFM,2021-06-14,29.1999,29.1999,28.475,28.73,1606286,28.767801335357703,0.0,0.007106875050626019,0.10318880241419455,,,,
SFM,2021-06-15,28.8,28.92,28.1,28.29,1540820,28.355587267428845,0.0,0.008284993507207636,0.23929513225762916,,,,
SFM,2021-06-16,28.3,28.3,27.46,27.625,1966392,27.726011966467716,0.0,0.006370274880138887,0.08594891415258382,,,,
SFM,2021-06-17,27.49,28.11,27.3,27.945,2364420,27.69784684709135,0.0,0.007044745553918171,0.09226307808460656,,,,
SFM,2021-06-18,27.75,28.17,27.19,27.61,2171896,27.620986043607243,0.0,0.006858954645027357,0.10960077408380066,,,,
SFM,2021-06-21,27.41,28.285,27.41,28.125,1569792,27.98850549374252,0.0,0.007469610414654227,0.24986366997219653,,,,
SFM,2021-06-22,27.84,28.1,27.52,27.82,1731515,27.765280156895198,0.0,0.008254409701702475,0.12906769755572348,,,-0.041020337814546726,0.023357995180115942
SFM,2021-06-23,27.93,27.94,26.99,26.99,1714193,27.303926908152345,0.0,0.007285050987756244,0.08343076433591494,0.2933359839882211,,-0.06963116166839034,0.01852992283055732
SFM,2021-06-24,27.01,27.02,26.31,26.315,1919280,26.562844095546108,-50211175.84903333,0.0064629181120964534,0.07922123058616634,0.1272144339341343,,-0.09289900034470877,0.007744643526438333
SFM,2021-06-25,26.42,26.93,26.14,26.31,2875857,26.625775052259694,-68791755.38586666,0.007079433222323012,0.35748123866894616,0.05648937356751194,,-0.09307135470527417,-0.002387671296437577
SFM,2021-06-28,26.29,26.52,25.91,26.4625,1856842,26.31898942309922,-25271562.579233333,0.007568682774678046,0.11982039210757527,-0.006329544578349644,,-0.0878145467080318,-0.010371483077567967
SFM,2021-06-29,26.44,26.7,25.35,25.38,2090893,25.79081745711828,1104101.4165666662,0.007897436469619077,0.1048738441064345,-0.17298960767689286,,-0.12512926577042405,-0.01874424902199201
SFM,2021-06-30,25.2607,25.33,24.54,24.815,2407915,24.834195283388226,53809890.052600004,0.0070375577506886465,0.09644348769598703,-0.38197390195558206,,-0.14460530851430542,-0.02436158474657435
SFM,2021-07-01,24.99,25.5,24.67,25.405,2115423,25.263999284540137,50463626.85183333,0.009098044256416561,0.6335072455039877,-0.30183698972573597,,-0.1242674939675974,-0.02990485892280159
