symbol,date,open,high,low,close,volume,vwap,drift_factor,amihud_mean,amihud_range,sortino_ratio,ts_mom_rank,max_dd_ratio,rel_strength_ma
SPY,2013-10-04,167.65,169.06,167.53,168.74,82468345,168.46067914038204,0.0,0.0005793113082666018,0.02129144237313477,,,,
SPY,2013-10-07,167.41,168.45,167.16,167.53,78469354,167.93269448758298,0.0,0.0003595674939350867,0.010497551481802016,,,,
SPY,2013-10-08,167.42,167.64,165.58,165.59,147634508,166.41872814717092,0.0,0.0006987913194035992,0.021416284982351992,,,,
SPY,2013-10-09,165.98,166.33,164.53,165.68,140972332,165.52977871151813,0.0,0.0005022286561210702,0.014496676287214972,,,,
SPY,2013-10-10,166.43,169.24,165.57,168.91,154603457,168.1972499194288,0.0,0.0003978880958476109,0.01438216079920076,,,,
SPY,2013-10-11,168.95,170.32,167.88,170.0,85782941,169.68098003560712,0.0,0.00044342263624848024,0.010489553401310296,,,,
SPY,2021-05-25,420.26,420.71,417.62,418.04,48579977,418.87893247795273,0.0,0.00016798918809489224,0.009893209058523438,,,,
SPY,2021-05-26,419.33,420.02,417.76,418.71,35705232,418.86801556748134,0.0,0.0001711195396635283,0.010753925115602594,,,,
SPY,2021-05-27,418.11,420.72,417.69,419.64,45265237,419.8367590612718,0.0,0.00017079757628886384,0.00385296684486907,,,,
SPY,2021-05-28,420.95,421.43,419.95,419.96,43028595,420.6912068381789,0.0,0.00011745546972699547,0.0060210404625098525,,,,
SPY,2021-06-01,421.48,422.72,419.2,419.78,46813701,420.3745523584794,0.0,0.0001646276343412601,0.0057995717757927615,,,,
SPY,2021-06-02,419.35,421.23,419.09,420.135,37963323,420.21626143196676,0.0,0.0002184363719048833,0.011858594152087589,,,,
SPY,2021-06-03,419.63,420.98,416.28,418.8,51606690,418.62981225282476,0.0,0.0002119256224750687,0.008867232202204721,,,,
SPY,2021-06-04,418.91,422.92,418.46,422.65,43341879,421.9235971537543,0.0,0.0002753799436902589,0.009597217338636006,,,,
SPY,2021-06-07,421.85,422.99,421.19,422.255,39650462,421.83924042132884,0.0,0.0001994313187111989,0.007884093896274525,,,,
SPY,2021-06-08,422.07,423.38,420.32,422.41,38744141,422.16662482916314,0.0,0.0002034956353105133,0.008073565273377683,,,,
SPY,2021-06-09,422.35,423.26,421.55,421.78,35963738,422.5180850055908,0.0,0.00021804325553090716,0.016804545356610995,,,,
SPY,2021-06-10,421.78,424.63,420.5,423.405,43192558,423.4139933923686,0.0,0.00021817905044628963,0.009009272286729627,,,,
SPY,2021-06-11,423.54,424.51,422.82,424.0301,34028918,423.60203793451296,0.0,0.00011278069433454438,0.0045029994727692185,,,,
SPY,2021-06-14,424.65,424.88,423.1,424.745,30642319,423.6934585221546,0.0,0.0001169274173421682,0.006993617958544327,,,0.0,0.22269112597751772
SPY,2021-06-15,425.97,425.99,423.54,424.315,39266872,424.4559166310624,0.0,0.00014633328920335683,0.006492234326488266,25.01617744646401,,-0.001012372129159833,0.1803044524459836
SPY,2021-06-16,424.22,424.87,419.92,422.28,71871064,422.3755311010951,-30356578827.8008,0.000187329635207503,0.007408248132444841,26.94788545126957,,-0.005803482089253631,0.1403222647618052
SPY,2021-06-17,420.26,423.02,419.32,422.34,74364902,421.8818206857481,-31373200250.87723,0.000226217138896016,0.008245152438918702,59.13377380497599,,-0.005662220861929024,0.10307288191801267
SPY,2021-06-18,420.6,422.276,415.585,415.805,89836958,416.5936352876303,-37425504916.40217,0.00011766815398960828,0.005663269635169733,20.8393918661112,,-0.021047922871369917,0.06650767149149561
SPY,2021-06-21,416.0,420.99,412.94,420.775,61848972,419.4805014972757,-25944437791.650967,0.0001651730810608126,0.007503736204050625,20.73317438517395,,-0.009346784541313102,0.033274586549306706
SPY,2021-06-22,420.74,424.0,420.07,423.4,48672618,422.17736555322125,-20548477641.8183,0.00024661541270736145,0.008492277151463825,20.73015161685453,,-0.0031666058458604818,0.002432579139296731
SPY,2021-06-23,423.32,424.05,422.5,422.661,39864765,423.32132151242405,-16875605001.582233,0.0002248185662341396,0.006600742297950322,0.15948838990020342,,-0.00490647329574212,0.0020920947817468782
SPY,2021-06-24,423.84,425.55,423.75,425.12,37477748,425.12063844138567,-15928333885.012033,0.00015412378018676915,0.008571672895799572,0.21908079512505804,,0.0,0.0017372691757873149
SPY,2021-06-25,425.3,427.0943,425.04,426.6,45545470,426.3275816926286,-19416182428.10083,0.00017656606545762098,0.01290379323433923,0.23689782568441717,,0.0,0.0015202565041536609
SPY,2021-06-28,426.8,427.65,425.89,427.455,41767745,426.7131828175114,-17822847408.0602,0.00012446155379446553,0.007060212666399178,0.25445187996749413,,0.0,0.0012733675866305472
SPY,2021-06-29,427.53,428.56,427.0,427.73,30341143,427.91039992485764,-12983290635.3073,0.00010560061132927256,0.0065020244525871036,0.26901160423372283,,0.0,0.0011397626046152354
SPY,2021-06-30,428.06,428.78,426.37,428.585,41748138,428.01041770922006,-17868637983.962166,0.0002461215026678643,0.007801841835601489,0.2852796627526129,,0.0,0.0016299362012135443
SPY,2021-07-01,429.65,430.52,428.15,430.32,41517185,429.749052267834,-17841063246.41833,0.00015261125061968457,0.006608466204791305,0.38843445317815783,,0.0,0.002151389185678143
