symbol,date,open,high,low,close,volume,vwap,drift_factor,amihud_mean,amihud_range,sortino_ratio,ts_mom_rank,max_dd_ratio,rel_strength_ma
STRL,2021-05-25,21.98,22.135,21.74,21.8,126071,21.884912298359243,0.0,0.13452770717859078,1.3598432762894894,,,,
STRL,2021-05-26,21.9,22.205,21.83,22.14,82536,21.979473558202244,0.0,0.21397637047116158,1.247598373126077,,,,
STRL,2021-05-27,22.49,22.81,22.41,22.67,151455,22.620057815411222,0.0,0.16776518762562778,1.1886311277169708,,,,
STRL,2021-05-28,22.71,23.0,22.24,22.47,62629,22.505326963543645,0.0,0.19529600817926082,5.552045641620017,,,,
STRL,2021-06-01,22.85,23.38,22.55,23.24,161790,23.143578389474637,0.0,0.19229940323908523,2.626512572464657,,,,
STRL,2021-06-02,23.34,23.63,22.74,23.55,233278,23.348323263658664,0.0,0.10462019510178926,1.101413168160731,,,,
STRL,2021-06-03,23.56,24.54,23.2,24.49,348980,24.186039569124567,0.0,0.14140535645604743,1.4209470201531533,,,,
STRL,2021-06-04,24.6,25.11,24.29,25.055,270115,24.691780490530896,0.0,0.09555468101923502,1.0842989856088143,,,,
STRL,2021-06-07,25.24,25.7399,24.92,25.03,207658,25.265179423538125,0.0,0.11281323054895262,1.4488762364071817,,,,
STRL,2021-06-08,25.12,25.3,24.57,25.01,140689,24.86109064342688,0.0,0.12593224373566575,1.6488522036394164,,,,
STRL,2021-06-09,25.18,25.39,24.68,24.69,169876,25.033897953015234,0.0,0.1343816640612034,1.4144267973367406,,,,
STRL,2021-06-10,24.92,24.92,24.31,24.53,167815,24.535749615746035,0.0,0.1676934281469799,2.325777678500719,,,,
STRL,2021-06-11,24.69,25.08,24.042,24.19,100386,24.297254340576277,0.0,0.13847562399660668,2.2503393527176394,,,,
STRL,2021-06-14,24.29,24.3763,23.84,24.12,106365,24.13096199595505,0.0,0.2009998359291142,1.0853297439019454,,,,
STRL,2021-06-15,24.26,24.26,23.999,24.075,111534,24.072006411495682,0.0,0.16142558972066118,1.664239729638965,,,,
STRL,2021-06-16,24.06,24.13,23.58,23.75,114878,23.80236685236885,0.0,0.16853233077133292,1.3729710251297718,,,,
STRL,2021-06-17,23.78,23.78,22.97,22.97,181766,23.242227575196132,0.0,0.15165046539061847,1.128322840239431,,,,
STRL,2021-06-18,22.43,22.74,21.81,21.86,328478,22.14608563313153,0.0,0.16989664400064022,2.5067844365933674,,,,
STRL,2021-06-21,21.81,22.32,21.81,21.98,116001,22.051090192611383,0.0,0.1718281100709006,1.417110991689546,,,,
STRL,2021-06-22,22.02,22.15,21.51,22.15,125071,21.868656812528737,0.0,0.21026773670146687,2.1334698753954218,,,-0.11594492117341848,-0.0024267198831654513
STRL,2021-06-23,22.15,22.3,21.845,21.88,126551,22.001532302126783,0.0,0.1452910016525404,0.9602574148304349,0.03162023960453871,,-0.12672121333067254,-0.014557838027218106
STRL,2021-06-24,25.0,25.0,21.835,23.11,342732,22.50160363345055,1099060.0222999994,0.36098082778883817,52.28403437335016,0.19253253323994432,,-0.07762921572540415,-0.022620110011206118
STRL,2021-06-25,23.4,24.5388,23.3,23.36,217782,23.7081372363178,-4204343.5218,0.21468938751208125,4.886282871347326,0.14055516316127994,,-0.06765116743165034,-0.027570995725405112
STRL,2021-06-28,23.32,23.4,22.07,22.4,220108,22.496170168582882,-3554672.8022,0.19222603278816106,2.0284857824164777,0.01093650727625339,,-0.10596687287966478,-0.034723401054334246
STRL,2021-06-29,22.6,22.61,21.9,22.22,251174,22.139733537573335,798155.5023666667,0.15292145081329003,1.7503113220339284,-0.134814034917266,,-0.11315106765116745,-0.040516985230000024
STRL,2021-06-30,22.13,24.48,22.0,24.09,1083637,23.509975171605525,15306617.480500001,0.11281098962345985,1.9367770282418397,0.10938678086423839,,-0.03851526641388947,-0.040173263529737935
STRL,2021-07-01,24.5499,25.68,24.5,25.33,488267,25.20314204154642,-4991734.705666667,0.07163408539649702,0.7413140235828747,0.1492432817336216,,0.0,-0.03187791478089097
STRL,2021-07-02,25.45,26.388,23.64,23.73,281729,24.304655944186635,-4746503.3321,0.1511000104696378,2.4571884063921225,-0.11568277640661183,,-0.06316620607974721,-0.021201977141738992
STRL,2021-07-06,23.86,23.86,21.85,22.33,353459,22.408320744130933,3462625.9924333333,0.16388220140614573,1.4927567105624693,-0.2406489227263526,,-0.11843663639952628,-0.014055903366338107
STRL,2021-07-07,22.25,22.305,21.35,22.0,200603,21.825045398954394,4356388.372166666,0.23309075568836943,3.006708266800708,-0.27790469384690447,,-0.1314646664034741,-0.00831603110891932
STRL,2021-07-08,21.54,22.4,21.08,21.89,214341,21.764266305869846,4404012.3876,0.2176772818248679,4.37955980604371,-0.2572253154754442,,-0.1358073430714567,-0.002262076563262605
STRL,2021-07-09,22.16,22.79,21.99,22.69,357364,22.54809953035684,8035399.373900001,0.16783710702025634,2.25019389075981,-0.1524042053813287,,-0.10422424003158304,-9.779994562442162e-05
STRL,2021-07-12,22.44,22.8,22.11,22.37,198710,22.385288444633435,3526623.680166667,0.16160550119669018,1.5171144975254391,-0.1529889543411783,,-0.11685748124753248,-0.0004473008147644064
STRL,2021-07-13,22.24,22.29,21.98,22.12,143263,22.131005656495013,2753148.7300333334,0.13955671854391138,1.2710242665935665,-0.1742313474824451,,-0.126727200947493,0.0027065226097866546
STRL,2021-07-14,22.24,22.54,21.53,21.71,165053,21.863263130427484,3051672.104133333,0.1827305280355128,1.4961816967810857,-0.21707050671955672,,-0.1429135412554282,0.005683570072836375
STRL,2021-07-15,21.6,22.11,21.435,21.67,136582,21.780903825539102,2770850.952966667,0.24110384947417204,1.8436140758311348,-0.18628829392266494,,-0.1444926964074219,-0.000398353914752958
STRL,2021-07-16,21.97,22.0,21.11,21.19,179572,21.35887860059727,3254723.4187333337,0.18122067327204996,2.916742921251117,-0.1630337532530022,,-0.16344255823134612,-0.014841806338943275
STRL,2021-07-19,21.0,21.15,20.165,20.82,266086,20.732782871827624,3604846.9027666664,0.23071697324092227,3.349482110575518,-0.09456864738790889,,-0.17804974338728774,-0.025521112138998325
STRL,2021-07-20,20.86,21.57,20.76,21.24,193481,21.286383020898455,2802386.3336,0.1574493631696165,1.7311728603728347,-0.05609825628201591,,-0.16146861429135417,-0.028775374067019688
STRL,2021-07-21,21.38,22.05,21.38,21.5001,153230,21.5515458187025,1475040.7492666664,0.16524026727353905,1.8207547917084377,-0.04427829603471128,0.6842105263157895,-0.1512001579155151,-0.029598787521951442
STRL,2021-07-22,21.54,21.655,20.64,20.91,157738,20.97506549087595,769923.4550000001,0.15614846938057148,2.4602556876521517,-0.08333531842340118,0.42105263157894735,-0.17449664429530198,-0.03187941480631029
STRL,2021-07-23,21.04,21.22,20.7,21.15,100719,20.92192871950467,1065459.8465666666,0.3129266015395466,2.567085517462265,-0.19927448410729745,0.3157894736842105,-0.16502171338333993,-0.034538353883920125
STRL,2021-07-26,21.17,21.78,21.02,21.19,102187,21.264903433572314,1871477.0130333335,0.3064301758828424,2.553344158714694,-0.22240785073961497,0.47368421052631576,-0.16344255823134612,-0.03513703915776445
STRL,2021-07-27,21.03,21.28,20.6119,21.05,91730,21.01218187252215,1820988.9098333335,0.2419439954067635,3.5716648920990113,-0.13967406134567537,0.6842105263157895,-0.16896960126332405,-0.037035123501996
STRL,2021-07-28,21.29,21.935,21.1,21.74,159466,21.619725033548114,2898575.3855333333,0.24657111935888146,2.156769242798944,-0.028292520177954205,0.8421052631578947,-0.1417291748914331,-0.03585019197633588
STRL,2021-07-29,22.08,22.19,21.61,21.94,111108,21.94190775011503,886160.2692333334,0.2349797573785921,2.470648843765626,-0.22993113769813156,0.8421052631578947,-0.13383339913146453,-0.02989237112612464
STRL,2021-07-30,20.45,22.42,20.45,21.94,103347,21.885491988799362,2167553.057233333,0.31761416200616616,5.561354839648392,-0.36839487980065794,0.8421052631578947,-0.07543194268857978,-0.01888850201611314
STRL,2021-08-02,22.1,22.86,21.54,21.6,218773,21.956832326352494,4803562.078533334,0.1964903425551267,1.4661347415095556,-0.30974753903045277,0.8947368421052632,-0.04803878360511238,-0.010460452954307087
STRL,2021-08-03,22.29,22.645,21.5,22.38,271768,22.31884037279264,5417061.393766667,0.2328706002307174,4.285326276028499,0.03224107692677734,1.0,-0.013662406346408251,-0.005310320175261896
STRL,2021-08-04,22.23,22.453,21.93,21.96,147114,22.210472192538514,-751781.4526,0.19195752468572094,1.8319298036983793,0.009948462450316303,0.9473684210526315,-0.03217276333186425,-0.003094490116686055
STRL,2021-08-05,21.92,22.49,21.92,22.05,106645,22.22589280759946,-145544.54686666653,0.25853632098100904,2.1596209431512223,0.058223989462641214,0.9473684210526315,-0.028206258263552275,0.0018002391847469212
STRL,2021-08-06,22.29,22.7,22.12,22.12,77654,22.288717086904008,-328684.13486666663,0.26786784909763145,3.4040243976180444,-0.11942722807063538,0.8421052631578947,-0.011617515638963294,0.00760406572997252
STRL,2021-08-09,22.05,22.17,21.565,21.96,142971,21.952150425376104,1050973.7199333333,0.1924837209739817,1.4683199970776597,-0.0839509116336451,0.8947368421052632,-0.018766756032171483,0.01212266006225593
STRL,2021-08-10,22.07,22.92,21.81,22.87,165211,22.56414931915212,1607415.2540333332,0.16057153467818455,1.2484659830887532,0.19785943353186455,1.0,0.0,0.01877617940051013
STRL,2021-08-11,23.0,23.82,22.67,23.75,224340,23.12255879483419,-3236495.7367666666,0.16467024624663473,1.335647047650415,0.5197057058100647,1.0,0.0,0.023239540885451326
STRL,2021-08-12,23.81,24.025,23.3,23.74,84456,23.772341815853963,-1645779.9118000001,0.22200330554209685,3.8596752970621124,0.5253167024271769,0.9473684210526315,-0.00042105263157898865,0.026629826428028913
STRL,2021-08-13,23.8,23.8,23.01,23.08,76738,23.168132332956752,-1765924.4189666666,0.23944325223054028,2.146790469349257,0.46345227505916686,0.8947368421052632,-0.028210526315789575,0.02740357879259525
STRL,2021-08-16,22.2613,22.99,22.2613,22.67,66721,22.68173475617032,-1196352.6713333332,0.22360535798580147,1.9002696672601638,0.46098467787409075,0.8421052631578947,-0.04547368421052622,0.02794641366429862
STRL,2021-08-17,22.42,22.42,21.88,22.11,121537,22.083359319930935,-2522244.1350000002,0.22163214856336994,2.195629741441885,0.21385402078059415,0.47368421052631576,-0.06905263157894737,0.02469923100028759
STRL,2021-08-18,21.93,22.24,21.73,21.74,85854,21.945144985670794,-1305798.361,0.2908599372392813,3.514411943120055,0.07468651155991385,0.21052631578947367,-0.0846315789473685,0.023147414402920008
