symbol,date,open,high,low,close,volume,vwap,drift_factor,amihud_mean,amihud_range,sortino_ratio,ts_mom_rank,max_dd_ratio,rel_strength_ma
UNFI,2021-05-25,36.5,37.13,36.13,36.59,801739,36.55290599234868,0.0,0.03636891584066142,0.7111322870495679,,,,
UNFI,2021-05-26,36.63,37.49,35.21,35.25,1658796,36.33514513890374,0.0,0.016852386450039857,0.3893213414228588,,,,
UNFI,2021-05-27,36.18,38.74,35.9,37.47,1925286,37.66305158821406,0.0,0.017610140911965708,0.2512946751923762,,,,
UNFI,2021-05-28,38.0,38.2199,37.15,37.87,782188,37.826331721998145,0.0,0.03844990718445046,1.742767514808898,,,,
UNFI,2021-06-01,38.05,39.22,38.01,39.16,2175016,38.76635655172175,0.0,0.015111562893343925,0.2073740841836015,,,,
UNFI,2021-06-02,39.11,42.4,38.44,41.9,2764978,40.801964036048844,0.0,0.01840411641058222,0.20998634395785587,,,,
UNFI,2021-06-03,41.2,41.81,38.81,39.39,1984816,39.965108353099865,0.0,0.026707428847825468,2.2885520903008993,,,,
UNFI,2021-06-04,39.46,39.87,38.4255,39.33,969295,39.174191461285034,0.0,0.020088412739224636,0.48912390803493644,,,,
UNFI,2021-06-07,39.33,40.13,38.74,39.9,1500004,39.64205453436542,0.0,0.019362713861785206,0.34662139735724457,,,,
UNFI,2021-06-08,40.23,40.77,38.9,40.63,1425566,40.15852451851845,0.0,0.018719796501917574,1.6064779064276922,,,,
UNFI,2021-06-09,40.48,40.48,32.01,34.309,12695460,33.58748747142415,0.0,0.07377765202198265,6.418564791192731,,,,
UNFI,2021-06-10,34.4,35.15,32.95,34.715,3095624,34.313142029985876,0.0,0.0156679351169828,1.2694275304943303,,,,
UNFI,2021-06-11,35.4,36.3299,34.9,35.37,1465381,35.61743562149797,0.0,0.021802684189281264,0.7480054510240443,,,,
UNFI,2021-06-14,35.84,37.3,35.5,36.96,1490510,36.65138724550633,0.0,0.022247998357696742,0.25274988822849975,,,,
UNFI,2021-06-15,37.49,39.09,36.6034,37.79,1218165,38.209479977452105,0.0,0.03539534917545102,5.5697136716494136,,,,
UNFI,2021-06-16,36.5122,37.667,36.31,37.04,603040,37.04751148221173,0.0,0.03293974473283686,0.28599110263013044,,,,
UNFI,2021-06-17,36.75,37.55,36.0,36.64,360907,36.7495769969354,0.0,0.056451954298007236,0.6988055400137615,,,,
UNFI,2021-06-18,36.32,36.899,35.06,35.29,713367,35.76589316177083,0.0,0.041854423804118426,0.42631716054146346,,,,
UNFI,2021-06-21,35.5,36.65,35.5,35.99,449713,36.03466689347719,0.0,0.0391478142812378,0.4950950721729735,,,,
UNFI,2021-06-22,36.3,36.38,35.12,35.97,446508,35.65015187872627,0.0,0.04638096754531206,0.8598428189793578,,,-0.141527446300716,-0.03667378337194582
UNFI,2021-06-23,35.2001,38.275,35.2001,37.78,1187140,37.376250838120434,0.0,0.024736091838336718,0.4996227721237109,0.07739336698713818,,-0.0983293556085918,-0.028933401616836996
UNFI,2021-06-24,37.51,39.31,36.5,37.88,1104233,38.38050865864929,-22369963.657866668,0.03079690006500379,0.6115741779540635,0.13123086873697445,,-0.09594272076372301,-0.023907882248249246
UNFI,2021-06-25,38.23,39.73,38.19,39.03,1489573,39.01585853205333,-54825533.93983333,0.023698207117029055,0.29430515868485724,0.08679784508597031,,-0.0684964200477326,-0.01620837697990596
UNFI,2021-06-28,38.8,39.0,36.07,36.99,1426557,36.93371517282494,-39924943.140266664,0.025413753270723125,0.24371501557544706,0.0010380749837992568,,-0.11718377088305476,-0.014977448989719755
UNFI,2021-06-29,37.1,37.48,36.1,36.73,735678,36.688122843054934,-2149525.0658,0.032264067031270126,0.273832580512234,-0.05395839061178827,,-0.12338902147971365,-0.014612464478769183
UNFI,2021-06-30,36.41,37.365,36.11,36.98,349775,36.86000852309713,10478044.993433332,0.0495568156178897,0.8725870008214767,-0.13849802219983948,,-0.089835097218804,-0.008263575276343804
UNFI,2021-07-01,37.3,37.71,36.765,36.83,406271,37.21508755256047,14972366.155066667,0.04180328115255045,0.29682204805953366,-0.06603577289282067,,-0.09352695052916571,-0.004330637844886631
UNFI,2021-07-02,36.89,36.89,35.01,35.19,1027052,35.57900924240737,13171996.295633333,0.030972987830341452,0.4585596265118535,-0.12404706189404265,,-0.13389121338912147,0.0009837209047569573
UNFI,2021-07-06,35.34,35.73,34.4,35.59,437964,35.05470595467431,13216498.9702,0.055068928734091444,0.7225431036130895,-0.12832529983948918,,-0.12404627122815648,0.005773445147969181
UNFI,2021-07-07,35.7,35.83,34.36,35.37,419863,35.18543789569371,14259840.077866666,0.051494247331788444,0.7163630488686689,-0.1623667566883951,,-0.09377401998462731,0.011388658287695863
