symbol,date,open,high,low,close,volume,vwap,drift_factor,amihud_mean,amihud_range,sortino_ratio,ts_mom_rank,max_dd_ratio,rel_strength_ma
WFC,2021-05-25,46.36,47.02,46.035,46.105,38528355,46.547838115246975,0.0,0.0017672334576944225,0.11192699803839674,,,,
WFC,2021-05-26,46.16,46.595,45.6,46.405,33165858,46.2784466962933,0.0,0.0025848453632627845,0.21619892030215745,,,,
WFC,2021-05-27,46.4,47.38,46.2,46.815,35397177,46.721860067785435,0.0,0.004629674755471158,0.6465022611406852,,,,
WFC,2021-05-28,46.76,47.08,46.28,46.725,20695057,46.60102818148473,0.0,0.006055034664541635,0.4526940388107361,,,,
WFC,2021-06-01,46.7,47.41,46.7,47.23,24487692,47.17542648284424,0.0,0.005802520305060011,0.5162347163770251,,,,
WFC,2021-06-02,47.11,47.46,46.58,46.775,27882427,46.86486085261395,0.0,0.0031113432731256466,0.4869935997044675,,,,
WFC,2021-06-03,46.81,47.0,46.25,46.46,29971686,46.706621292337914,0.0,0.010463465989483549,1.7152628445567408,,,,
WFC,2021-06-04,46.52,47.17,46.51,46.99,27498302,46.80358280246053,0.0,0.0034514348380541965,0.181618030492849,,,,
WFC,2021-06-07,47.09,47.18,46.775,47.12,24797623,46.99470070594399,0.0,0.0021139499994375813,0.13665601669408156,,,,
WFC,2021-06-08,47.0,47.03,46.3032,46.64,32395115,46.667321579811215,0.0,0.002002244141678397,0.13624254151530898,,,,
WFC,2021-06-09,46.58,46.58,45.631,45.955,31496028,45.99494374807302,0.0,0.002975125779850672,0.19046536022686275,,,,
WFC,2021-06-10,46.05,46.65,45.03,45.035,30357646,45.58325472981994,0.0,0.0061957055706043825,0.9976915073769906,,,,
WFC,2021-06-11,45.2,45.66,45.05,45.6,27749035,45.46869966005543,0.0,0.00441303964632758,0.3083973094237913,,,,
WFC,2021-06-14,45.68,45.88,44.8399,45.0518,16800737,45.12335761945242,0.0,0.003336416865082052,0.3354995631373275,,,,
